Date,Solar_Index,Temperature,Humidity,Wind_Speed,Precipitation,Location
2023-05-15,7.4093,31.18,61.62,2.69,0.01,Ghatkopar
2023-05-16,7.3186,31.02,65.04,2.84,0.03,Ghatkopar
2023-05-17,7.5953,31.6,60.33,2.86,0.02,Ghatkopar
2023-05-18,7.5804,31.76,58.1,2.65,0.01,Ghatkopar
2023-05-19,7.5024,31.92,57.49,2.53,0.01,Ghatkopar
2023-05-20,7.4258,31.27,62.41,2.41,0.03,Ghatkopar
2023-05-21,7.3778,31.34,60.68,2.55,0.16,Ghatkopar
2023-05-22,7.2595,31.53,56.71,2.56,0.27,Ghatkopar
2023-05-23,7.2386,31.64,54.86,2.51,0.03,Ghatkopar
2023-05-24,7.3488,31.24,56.89,2.79,0.12,Ghatkopar
2023-05-25,7.5034,30.8,59.97,3.19,0.34,Ghatkopar
2023-05-26,7.1002,30.95,60.81,3.38,2.23,Ghatkopar
2023-05-27,6.9794,30.62,59.99,3.32,0.77,Ghatkopar
2023-05-28,7.117,31.19,61.24,3.07,0.57,Ghatkopar
2023-05-29,7.3327,31.68,61.37,2.76,0.86,Ghatkopar
2023-05-30,7.2413,32.15,57.32,2.55,1.41,Ghatkopar
2023-05-31,7.379,32.29,57.47,2.19,0.46,Ghatkopar
2023-06-01,7.5912,31.81,58.43,2.62,0.45,Ghatkopar
2023-06-02,7.2552,30.79,63.41,2.93,0.99,Ghatkopar
2023-06-03,6.8738,30.26,68.69,2.56,1.59,Ghatkopar
2023-06-04,6.4961,30.3,70.22,2.32,3.67,Ghatkopar
2023-06-05,6.9403,29.85,71.39,2.2,2.68,Ghatkopar
2023-06-06,7.0406,30.8,67.22,2.37,0.2,Ghatkopar
2023-06-07,7.2847,30.67,67.33,2.4,0.18,Ghatkopar
2023-06-08,6.931,31.32,66.31,2.17,0.13,Ghatkopar
2023-06-09,7.099,30.84,70.11,3.08,2.95,Ghatkopar
2023-06-10,7.1854,30.89,70.06,4.54,3.67,Ghatkopar
2023-06-11,5.8279,31.08,65.9,5.84,0.67,Ghatkopar
2023-06-12,5.5226,31.06,65.33,6.66,6.14,Ghatkopar
2023-06-13,5.531,30.41,68.85,6.0,2.62,Ghatkopar
2023-06-14,5.9731,30.44,69.54,6.02,10.22,Ghatkopar
2023-06-15,6.0278,30.3,71.44,6.1,3.32,Ghatkopar
2023-06-16,4.2389,30.27,73.47,6.65,2.52,Ghatkopar
2023-06-17,5.4046,29.98,74.15,5.52,1.75,Ghatkopar
2023-06-18,5.471,29.82,74.36,4.35,0.6,Ghatkopar
2023-06-19,5.4197,29.93,73.52,3.66,0.3,Ghatkopar
2023-06-20,5.9825,30.1,73.31,3.57,0.37,Ghatkopar
2023-06-21,5.9016,29.99,72.87,3.22,0.38,Ghatkopar
2023-06-22,6.2304,29.93,73.01,3.14,1.49,Ghatkopar
2023-06-23,6.5333,29.89,72.31,3.13,2.76,Ghatkopar
2023-06-24,4.4722,28.09,84.46,2.91,55.03,Ghatkopar
2023-06-25,2.6822,27.97,84.09,2.38,48.76,Ghatkopar
2023-06-26,1.6526,27.25,84.99,2.78,60.95,Ghatkopar
